id,artist,album,album_art,top_emotion,id1,id2,id3,id4,id5
43,Nosaj Thing,Home,https://i.scdn.co/image/ab67616d0000b2730cc134b0836ee581faf5e643,joy,9253,7512,4428,8997,7587
44,FIDLAR,FIDLAR,https://i.scdn.co/image/ab67616d0000b273a5fb379f9c2f390ed5c12b2a,sadness,6876,6687,5905,5265,1012
45,FaltyDL,Hardcourage,https://i.scdn.co/image/ab67616d0000b27369ccc7628661ef0354e3a374,anger,7643,2798,10981,10732,7740
46,Torres,Torres,https://i.scdn.co/image/ab67616d0000b273c595de71af69acc1fb7e8fa4,sadness,10100,2477,482,4254,8955
47,The Joy Formidable,Wolf's Law,https://i.scdn.co/image/ab67616d0000b2739fd477f7e7f5aca7567b65a5,joy,3998,5644,8872,9645,143
48,Charli XCX,Vroom Vroom EP,https://i.scdn.co/image/ab67616d0000b27345fefe45b11cde997046d567,joy,9088,213,4896,4327,9099
49,Baauer,Aa,https://i.scdn.co/image/ab67616d0000b2734c701637f8c6b1d9bd73c187,anger,3804,358,9025,3209,7774
50,Boosie Badazz,Thug Talk,https://i.scdn.co/image/ab67616d0000b2739f01f7ce13a3491ea6715d11,anger,943,9817,10312,5928,8027
51,iLoveMakonnen,Drink More Water 6,https://i.scdn.co/image/ab67616d0000b2737cf539f7dc3766597d217eae,anger,1901,10790,10208,9350,9246
52,The Joy Formidable,Hitch,https://i.scdn.co/image/ab67616d0000b273f3b88b3fbed12335f5ec2fe6,sadness,3603,2528,4343,7959,10151
53,Lucius,Good Grief,https://i.scdn.co/image/ab67616d0000b2733c63fb36cacf828e8c9e5c13,sadness,6946,1088,2336,6253,2406
54,"The Body, Full of Hell",One Day You Will Ache Like I Ache,https://i.scdn.co/image/ab67616d0000b2734340358cd96bc89df75ddcce,sadness,8274,1200,5144,2910,990
55,Moderat,II,https://i.scdn.co/image/ab67616d0000b2731e59786a357e89cac748f317,sadness,5545,7522,1908,6585,909
56,Morne,Shadows,https://i.scdn.co/image/ab67616d0000b273daf40225e0af0326b12a2512,joy,6896,9471,2392,8848,9163
57,Raffertie,Sleep of Reason,https://i.scdn.co/image/ab67616d0000b2735d35eb3c160de91be6be00ae,sadness,7646,9304,8772,9313,5372
58,True Widow,Circumambulation,https://i.scdn.co/image/ab67616d0000b273dde970b14b5b99dc2fc11af9,joy,3424,2411,4842,167,7169
59,PARTYNEXTDOOR,PARTYNEXTDOOR,https://i.scdn.co/image/ab67616d0000b2730a4fd8aa50652821b1a2a054,anger,5731,3543,5149,10440,8714
60,Crash of Rhinos,Knots,https://i.scdn.co/image/ab67616d0000b273e28f1c64da19e283951c5424,anger,330,2534,1612,10167,7275
61,Ka,The Night's Gambit,https://i.scdn.co/image/ab67616d0000b2739dd771c6db7bf01d36549112,sadness,5824,2718,8153,10853,3272
62,Whirr,Around,https://i.scdn.co/image/ab67616d0000b27396838c3b3fd8b532f235b02f,joy,9816,5264,7220,3471,6688
63,Mammoth Grinder,Underworlds,https://i.scdn.co/image/ab67616d0000b273a31725fdc153a13da677afec,anger,7055,9422,4580,10354,6097
64,Girlpool,Powerplant,https://i.scdn.co/image/ab67616d0000b27326d91b576ade878b7b948985,surprise,4758,5700,10361,1161,7616
65,Logic,Everybody,https://i.scdn.co/image/ab67616d0000b273cfdf40cf325b609a52457805,anger,4239,6230,7515,5152,8697
66,Brother Ali,All the Beauty in This Whole Life,https://i.scdn.co/image/ab67616d0000b27346e7785327a0964ff939647e,anger,8254,2243,5960,5062,7377
67,Fazerdaze,Morningside,https://i.scdn.co/image/ab67616d0000b2735423940ed8d658004f1141a0,sadness,115,10958,4740,2011,2988
68,Blondie,Pollinator,https://i.scdn.co/image/ab67616d0000b2739fa7ab5ecaae0df05a1279fd,joy,7731,9987,5430,1444,4923
69,Oxbow,Thin Black Duke,https://i.scdn.co/image/ab67616d0000b2730e3f42e8b7923998c7ef2aed,joy,3942,2285,3670,5998,6280
70,Todd Rundgren,White Knight,https://i.scdn.co/image/ab67616d0000b2738b96a2d930589ecdeb78f7a9,anger,385,6176,6090,8322,8040
71,Apparat,Duplex,https://i.scdn.co/image/ab67616d0000b2734d0a219becf6786f42e1b1a9,surprise,7704,9881,5611,10469,7111
72,Basement Jaxx,Rooty,https://i.scdn.co/image/ab67616d0000b273b771a85837ca1e08e560088f,joy,6331,5425,3823,349,3972
73,Bionaut,Lubricate Your Living-Room,https://i.scdn.co/image/ab67616d0000b273bf82b5b2641c99702cccee4b,joy,10197,7914,3918,3241,2826
74,They Might Be Giants,Mink Car,https://i.scdn.co/image/ab67616d0000b273de67684fd766231573eb5a32,anger,8075,590,4171,10313,5119
75,Apollo Sunshine,Katonah,https://i.scdn.co/image/ab67616d0000b2734ec8c5ec3dec0b1cd8f2cb0d,joy,4241,6342,1092,3663,6963
76,The Wrens,The Meadowlands,https://i.scdn.co/image/ab67616d0000b27342d6786102bb6716435bc34c,surprise,10386,253,3183,5137,2151
77,Bola,Soup,https://i.scdn.co/image/ab67616d0000b27393c41d1a54d90a29063d6b9c,anger,1331,1215,10991,8960,5539
78,Casiotone for the Painfully Alone,Twinkle Echo,https://i.scdn.co/image/ab67616d0000b2735c16f33e9be6e032a04e5d2f,surprise,8020,898,9299,3877,4607
79,Spiritualized,Amazing Grace,https://i.scdn.co/image/ab67616d0000b2734871c50a54d377c99d5c8130,anger,6350,2914,3497,1617,1577
80,Boris,At Last: Feedbacker,https://i.scdn.co/image/ab67616d0000b273073260eb702d6a460588cc3c,surprise,2291,5264,6688,10626,62
81,Blockhead,Downtown Science,https://i.scdn.co/image/ab67616d0000b273fe7be0e78795db0aa63b21d5,joy,3583,8035,9724,173,746
82,Amandine,This Is Where Our Hearts Collide,https://i.scdn.co/image/ab67616d0000b2734469233cb6adb6530c91a979,joy,9182,336,4959,4198,9465
83,Jackie-O Motherfucker,Flags of the Sacred Harp,https://i.scdn.co/image/ab67616d0000b2739f015b2b59dc31ace174bee1,joy,8954,676,8703,6287,3097
84,Belle and Sebastian,Girls in Peacetime Want to Dance,https://i.scdn.co/image/ab67616d0000b27303e95df95fb67ac75965e381,joy,4261,4411,9536,5162,307
85,Sleater-Kinney,No Cities to Love,https://i.scdn.co/image/ab67616d0000b2735385b525402ff1002a648044,joy,1155,5072,7999,6772,1205
86,The Dodos,Individ,https://i.scdn.co/image/ab67616d0000b273e8f01270980eb828d5bdec85,surprise,1722,4483,2248,3982,3430
87,Monsters of Folk,Monsters of Folk,https://i.scdn.co/image/ab67616d0000b273914c99a5517f963c3968dc69,joy,3507,3066,10305,6942,737
88,Castanets,"Texas Rose, the Thaw, and the Beasts",https://i.scdn.co/image/ab67616d0000b273e89a741697dc322666c94bab,joy,2428,10856,4055,9132,1142
89,Richard Hawley,Truelove's Gutter,https://i.scdn.co/image/ab67616d0000b2735c576ce0d5ca7db68aa77bc9,sadness,3281,4315,4784,2451,8187
