artist,album,danceability,energy,acousticness,loudness,anger,joy,sadness,surprise
Boosie Badazz,Thug Talk,0.660882353,0.610117647,0.111757059,-9.159705882,0.317407236,0.217106252,0.255722019,0.209764494
iLoveMakonnen,Drink More Water 6,0.782727273,0.631,0.179522,-5.738818182,0.297268685,0.215094972,0.224274838,0.263361504
The Joy Formidable,Hitch,0.397333333,0.69375,0.133092425,-6.37375,0.238991794,0.241083447,0.287797829,0.23212693
Lucius,Good Grief,0.583588235,0.639352941,0.319926176,-5.975,0.226979235,0.259139306,0.269524325,0.244357134
"The Body, Full of Hell",One Day You Will Ache Like I Ache,0.2714,0.63821,0.032219655,-8.241,0.236250875,0.250726599,0.292931041,0.220091486
Moderat,II,0.446363636,0.476872727,0.280655455,-13.50827273,0.206716416,0.203721064,0.340832295,0.248730226
Morne,Shadows,0.2982,0.54042,0.00390158,-9.417,0.247507928,0.302419596,0.207849902,0.242222574
Raffertie,Sleep of Reason,0.548923077,0.512769231,0.315549154,-12.63653846,0.231615995,0.253464579,0.276762114,0.238157311
True Widow,Circumambulation,0.413625,0.5185,0.2038925,-11.3205,0.212995129,0.265946566,0.258087906,0.262970399
PARTYNEXTDOOR,PARTYNEXTDOOR,0.5725,0.6555,0.08204,-6.1702,0.276724301,0.268128429,0.243924868,0.211222402
Crash of Rhinos,Knots,0.266181818,0.690727273,0.229065455,-10.80309091,0.25646694,0.238300018,0.25151459,0.253718452
Ka,The Night's Gambit,0.466363636,0.617,0.438780909,-10.11954545,0.26304958,0.240075601,0.28178515,0.215089668
Whirr,Around,0.17825,0.46625,0.002424625,-8.97275,0.230731662,0.272040886,0.241867285,0.255360167
Mammoth Grinder,Underworlds,0.17696,0.9354,1.54E-06,-5.7333,0.286298575,0.220142173,0.247363809,0.246195443
Girlpool,Powerplant,0.530583333,0.542916667,0.2874275,-7.121916667,0.249905005,0.242667808,0.252622903,0.254804284
Logic,Everybody,0.708153846,0.755692308,0.248376923,-6.630384615,0.289580094,0.220389286,0.255493592,0.234537028
Brother Ali,All the Beauty in This Whole Life,0.698133333,0.6424,0.237046667,-6.542466667,0.265713623,0.25744845,0.263276694,0.213561233
